epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
66,9399.21,0.71213,0.66742,1.17356,0.83004,0.81627,0.83151,0.67614,0.74572,0.51791,1.17704,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,10250.2,0.70851,0.66154,1.17252,0.82915,0.81692,0.83165,0.67699,0.74425,0.51622,1.17585,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,11099.9,0.7039,0.65231,1.16843,0.82929,0.81693,0.83227,0.67796,0.74231,0.51452,1.17415,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,11952.5,0.69907,0.64825,1.16594,0.83072,0.81609,0.8322,0.67871,0.741,0.51349,1.17326,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,12803.3,0.69447,0.64502,1.16348,0.83355,0.81457,0.83265,0.67957,0.73953,0.51237,1.17203,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,13653.6,0.6906,0.63363,1.16067,0.83138,0.8171,0.83296,0.67989,0.73724,0.51167,1.17004,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,14504.1,0.68519,0.62729,1.15449,0.83537,0.81306,0.83311,0.68066,0.73526,0.51069,1.16842,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,15354.1,0.68015,0.62099,1.15434,0.8388,0.81176,0.83316,0.68116,0.73374,0.50994,1.16702,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,16204.5,0.67504,0.61203,1.15011,0.84236,0.81017,0.83284,0.68177,0.73189,0.50864,1.16538,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,17055.3,0.67018,0.60826,1.14623,0.84442,0.80922,0.83285,0.68236,0.72969,0.5079,1.16371,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,17904.4,0.65955,0.59498,1.13991,0.82882,0.82002,0.83335,0.68326,0.72828,0.50737,1.16271,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,18753.9,0.65903,0.59136,1.1391,0.83239,0.81693,0.83369,0.68359,0.72685,0.50675,1.16166,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,19603.8,0.65247,0.58409,1.13532,0.84685,0.80852,0.83379,0.6844,0.72492,0.50607,1.16019,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,20453.8,0.65086,0.58156,1.13378,0.8486,0.80874,0.83347,0.68513,0.72351,0.50525,1.15953,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,21303.6,0.64259,0.57144,1.12925,0.84923,0.80836,0.83352,0.68542,0.72153,0.50486,1.15804,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,22153.5,0.63828,0.56334,1.12597,0.85283,0.80508,0.83303,0.68553,0.71934,0.50446,1.15643,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,23003.4,0.63312,0.55626,1.12208,0.85224,0.80431,0.83265,0.68636,0.71728,0.50493,1.15482,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,23855.2,0.63062,0.55326,1.12037,0.85079,0.80525,0.83252,0.68685,0.71568,0.50511,1.15386,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,24704.9,0.62189,0.54308,1.11791,0.83041,0.82008,0.83262,0.68701,0.71397,0.50584,1.15309,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,25554.8,0.61624,0.53381,1.11221,0.83245,0.81884,0.83277,0.68742,0.7123,0.50633,1.15225,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,26405.5,0.61264,0.529,1.10995,0.83095,0.82074,0.83254,0.68811,0.71025,0.50641,1.1507,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,27256.4,0.60803,0.52125,1.10692,0.83289,0.81969,0.83201,0.68809,0.70868,0.50707,1.14979,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,28107.2,0.60057,0.51636,1.10231,0.83646,0.81678,0.83187,0.68832,0.70689,0.50828,1.14854,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,28958.8,0.59595,0.51175,1.10189,0.83526,0.81644,0.8321,0.68904,0.70541,0.50898,1.14763,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,29811.5,0.59213,0.50379,1.09849,0.83538,0.81413,0.83161,0.68902,0.70378,0.50963,1.14677,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,30659.6,0.51958,0.36343,1.08254,0.83624,0.81245,0.83106,0.68982,0.70148,0.50994,1.14567,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,31506.3,0.50187,0.34491,1.06653,0.84639,0.8081,0.83203,0.69016,0.69875,0.51073,1.14418,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,32354,0.48931,0.33287,1.05653,0.8519,0.80443,0.83077,0.69055,0.6963,0.51145,1.14311,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,33201.7,0.48047,0.32655,1.0523,0.85502,0.80214,0.83062,0.69092,0.69389,0.51184,1.14196,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,34049.9,0.47016,0.31469,1.04312,0.84616,0.80731,0.83031,0.69128,0.69152,0.51245,1.14106,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,34898.3,0.46309,0.3078,1.03726,0.84618,0.80732,0.82996,0.69191,0.68918,0.51322,1.14031,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,35747,0.45205,0.29936,1.02892,0.84696,0.80721,0.82999,0.69226,0.68674,0.51374,1.13935,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,36594.8,0.44723,0.29544,1.02625,0.8485,0.80617,0.82964,0.69204,0.68462,0.51453,1.13886,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,37442.8,0.43647,0.28683,1.01925,0.85207,0.80325,0.82865,0.69212,0.68266,0.51568,1.13865,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,38290.5,0.43372,0.2818,1.01761,0.8528,0.8042,0.82806,0.69164,0.68075,0.51583,1.13832,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
